session_id;answered_at;attempt_order;italian_word;clue_language;clue_column;clue;user_answer;is_correct;task_attempt_number;is_first_try_correct;example
20260721_050552;2026-07-21T05:05:59;1;Potere;İngilizce;İngilizcesi;Can/ to be able to;potere;True;1;True;Posso parlare un podi italiano
20260721_050552;2026-07-21T05:06:03;2;Vorrei;İngilizce;İngilizcesi;I’d like;vorrei;True;1;True;Vorrei un biglietto per roma
20260721_050552;2026-07-21T05:06:07;3;Volere;İngilizce;İngilizcesi;To want;volere;True;1;True;Voglio imparare l’italiano
20260721_050552;2026-07-21T05:06:11;4;Tempo;İngilizce;İngilizcesi;Time;tempo;True;1;True;Non ho molto tempo per studiare oggi
20260721_050552;2026-07-21T05:06:16;5;Settimana;Türkçe;Türkçesi;Hafta;settimana;True;1;True;Questa settimana studio italiano ogni girono
20260721_050552;2026-07-21T05:06:19;6;Domani;Türkçe;Türkçesi;Yarın;domani;True;1;True;Ti passo a prendere domani alle 19.00
20260721_050552;2026-07-21T05:06:23;7;Fare;İngilizce;İngilizcesi;To do/ to make;fare;True;1;True;Nel tempo libero faccio fotografie
20260721_050552;2026-07-21T05:06:27;8;Strada;Türkçe;Türkçesi;Yol / Cadde / Sokak;strada;True;1;True;Questa strada porta alla stazione
20260721_050552;2026-07-21T05:06:35;9;A Domani;İngilizce;İngilizcesi;See you tomorrow;A Domani;True;1;True;E stato bello vederti. A domani!
20260721_050552;2026-07-21T05:06:42;10;Strada;İngilizce;İngilizcesi;Road / Street / Way;strada;True;1;True;Questa strada porta alla stazione
20260721_050552;2026-07-21T05:06:47;11;Altro;İngilizce;İngilizcesi;Other / Another / More;altro;True;1;True;Vorrei un altro caffe, per favore
20260721_050552;2026-07-21T05:06:50;12;Avere;İngilizce;İngilizcesi;To have;avere;True;1;True;Ho una macchina fotografica
20260721_050552;2026-07-21T05:06:56;13;Fine Settimana;Türkçe;Türkçesi;Hafta sonu;fine settimana;True;1;True;Questo fine settimana voglio viaggiare con la mia ragazza
20260721_050552;2026-07-21T05:07:00;14;Cortese;İngilizce;İngilizcesi;Polite/ Courteous;cortese;True;1;True;Il cameriere e molto cortese
20260721_050552;2026-07-21T05:07:10;15;Tra/Fra due anni;Türkçe;Türkçesi;İki yıl sonra;Tra/Fra anni fa;False;1;False;Tra due anni voglio vivere in Italia
20260721_050552;2026-07-21T05:07:28;16;Settimana;İngilizce;İngilizcesi;Week;settimana;True;1;True;Questa settimana studio italiano ogni girono
20260721_050552;2026-07-21T05:07:32;17;Sapere;Türkçe;Türkçesi;Bilmek;sapere;True;1;True;Non so parlare bene italiano
20260721_050552;2026-07-21T05:07:37;18;Presente;İngilizce;İngilizcesi;Present / Current;presente;True;1;True;Oggi tutti gli studenti sono presenti
20260721_050552;2026-07-21T05:07:41;19;Cambiare;Türkçe;Türkçesi;Değiştirmek / Değişmek;cambiare;True;1;True;Voglio cambiare la mia vita
20260721_050552;2026-07-21T05:07:46;20;Due anni fa;Türkçe;Türkçesi;İki yıl önce;due anni fa;True;1;True;Ho iniziato a studiare italiano due anni fa
20260721_050552;2026-07-21T05:07:52;21;Corso;Türkçe;Türkçesi;Kurs / Ders;corso;True;1;True;Sto seguendo un corso di italiano online
20260721_050552;2026-07-21T05:07:56;22;Anno;Türkçe;Türkçesi;Yıl;anno;True;1;True;Quest’anno voglio andare in Italia
20260721_050552;2026-07-21T05:08:02;23;Senza;İngilizce;İngilizcesi;Without;senza;True;1;True;Non posso vivere senza la mia famiglia
20260721_050552;2026-07-21T05:08:08;24;Prima;Türkçe;Türkçesi;Önce/Daha önce;prima;True;1;True;Prima di dormire, studio italiano
20260721_050552;2026-07-21T05:08:11;25;Facile;İngilizce;İngilizcesi;Easy;facile;True;1;True;Questo esercizio e’ facile
20260721_050552;2026-07-21T05:08:16;26;Dopo;Türkçe;Türkçesi;Sonra;dopo;True;1;True;Dopo il lavoro, torno a casa
20260721_050552;2026-07-21T05:08:21;27;Dovere;İngilizce;İngilizcesi;Must/ to have to;dovere;True;1;True;Devo studiare oggi
20260721_050552;2026-07-21T05:08:24;28;Domani;İngilizce;İngilizcesi;Tomorrow;domani;True;1;True;Ti passo a prendere domani alle 19.00
20260721_050552;2026-07-21T05:08:27;29;Adesso;İngilizce;İngilizcesi;Now;adesso;True;1;True;Adesso non posso parlare
20260721_050552;2026-07-21T05:08:31;30;Essere;İngilizce;İngilizcesi;To be;essere;True;1;True;Sono uno studente
20260721_050552;2026-07-21T05:08:35;31;Essere;Türkçe;Türkçesi;Olmak;essere;True;1;True;Sono uno studente
