session_id;answered_at;attempt_order;italian_word;clue_language;clue_column;clue;user_answer;is_correct;task_attempt_number;is_first_try_correct;example
20260720_140727;2026-07-20T14:07:50;1;Pensare;Türkçe;Türkçesi;Düşünmek;pensare;True;1;True;Penso spesso al mio futuro
20260720_140727;2026-07-20T14:07:57;2;Pensare;İngilizce;İngilizcesi;To think;pensare;True;1;True;Penso spesso al mio futuro
20260720_140727;2026-07-20T14:08:52;3;Due anni fa;İngilizce;İngilizcesi;Two years ago;due anni fa;True;1;True;Ho iniziato a studiare italiano due anni fa
20260720_140727;2026-07-20T14:09:10;4;Mezzo di trasporto;İngilizce;İngilizcesi;Transportation;mezzo di transporta;False;1;False;Il treno e’ il mio mezzo di trasporto preferito
20260720_140727;2026-07-20T14:09:28;5;Potere;İngilizce;İngilizcesi;Can/ to be able to;potare;False;1;False;Posso parlare un podi italiano
20260720_140727;2026-07-20T14:09:36;6;Diverso;Türkçe;Türkçesi;Farklı/Çeşitli;diverso;True;1;True;
20260720_140727;2026-07-20T14:09:40;7;Mese;Türkçe;Türkçesi;Ay;mese;True;1;True;Questo mese studio molto italiano
20260720_140727;2026-07-20T14:09:49;8;Altro;Türkçe;Türkçesi;Başka / Diğer / Bir tane daha;altro;True;1;True;Vorrei un altro caffe, per favore
20260720_140727;2026-07-20T14:09:54;9;Parlare;Türkçe;Türkçesi;Konuşmak;parlare;True;1;True;Parlo italiano con i miei amici
20260720_140727;2026-07-20T14:10:10;10;Dovere;İngilizce;İngilizcesi;Must/ to have to;dovere;True;1;True;Devo studiare oggi
20260720_140727;2026-07-20T14:10:15;11;Fine Settimana;Türkçe;Türkçesi;Hafta sonu;fine settimana;True;1;True;Questo fine settimana voglio viaggiare con la mia ragazza
20260720_140727;2026-07-20T14:10:37;12;Assenza;Türkçe;Türkçesi;Yokluk / Bulunmama;assenze;False;1;False;Durante la mia assenza, nessuno ha chiamato
20260720_140727;2026-07-20T14:10:50;13;Facile;İngilizce;İngilizcesi;Easy;facile;True;1;True;Questo esercizio e’ facile
20260720_140727;2026-07-20T14:13:24;14;Durante;Türkçe;Türkçesi;Sırasında / Boyunca;durante;True;1;True;Durante il viaggio ho fatto molte fotografie
