session_id;answered_at;attempt_order;italian_word;clue_language;clue_column;clue;user_answer;is_correct;task_attempt_number;is_first_try_correct;example
20260722_023818;2026-07-22T02:38:29;1;Fare;Türkçe;Türkçesi;Yapmak;fare;True;1;True;Nel tempo libero faccio fotografie
20260722_023818;2026-07-22T02:38:34;2;Volere;Türkçe;Türkçesi;İstemek;volere;True;1;True;Voglio imparare l’italiano
20260722_023818;2026-07-22T02:38:39;3;Difficile;İngilizce;İngilizcesi;Difficult/Hard;difficile;True;1;True;Parlare italiano non e difficile
20260722_023818;2026-07-22T02:38:41;4;Ieri;Türkçe;Türkçesi;Dün;ieri;True;1;True;Ieri e stata una bella giornata
20260722_023818;2026-07-22T02:38:45;5;Andare;İngilizce;İngilizcesi;To go;andare;True;1;True;Voglio andare in Italia
20260722_023818;2026-07-22T02:38:54;6;Fine Settimana;İngilizce;İngilizcesi;Weekend;fine settimana;True;1;True;Questo fine settimana voglio viaggiare con la mia ragazza
20260722_023818;2026-07-22T02:38:58;7;Vivere;İngilizce;İngilizcesi;To live;vivere;True;1;True;Suo fratello adesso vive a Londra
20260722_023818;2026-07-22T02:39:02;8;Dopo;İngilizce;İngilizcesi;After/Later;dopo;True;1;True;Dopo il lavoro, torno a casa
20260722_023818;2026-07-22T02:39:15;9;Tra/Fra due anni;Türkçe;Türkçesi;İki yıl sonra;Tra/Fra due anni;True;1;True;Tra due anni voglio vivere in Italia
20260722_023818;2026-07-22T02:39:21;10;Portare;İngilizce;İngilizcesi;To bring / To carry / To take;portare;True;1;True;Porto sempre la macchina fotografica con me
20260722_023818;2026-07-22T02:39:24;11;Strada;İngilizce;İngilizcesi;Road / Street / Way;strada;True;1;True;Questa strada porta alla stazione
20260722_023818;2026-07-22T02:39:28;12;Iniziare;İngilizce;İngilizcesi;To start/to begin;iniziare;True;1;True;Voglio iniziare a studiare italiano oggi
20260722_023818;2026-07-22T02:39:32;13;Senza;Türkçe;Türkçesi;-Sız/ -siz;senza;True;1;True;Non posso vivere senza la mia famiglia
20260722_023818;2026-07-22T02:39:35;14;Essere;İngilizce;İngilizcesi;To be;essere;True;1;True;Sono uno studente
20260722_023818;2026-07-22T02:39:40;15;Altro;İngilizce;İngilizcesi;Other / Another / More;altro;True;1;True;Vorrei un altro caffe, per favore
20260722_023818;2026-07-22T02:39:43;16;Vorrei;Türkçe;Türkçesi;İsterdim / istiyorum;vorrei;True;1;True;Vorrei un biglietto per roma
20260722_023818;2026-07-22T02:39:46;17;Corso;Türkçe;Türkçesi;Kurs / Ders;corso;True;1;True;Sto seguendo un corso di italiano online
20260722_023818;2026-07-22T02:39:50;18;Cortese;Türkçe;Türkçesi;Kibar/Nazik;cortese;True;1;True;Il cameriere e molto cortese
20260722_023818;2026-07-22T02:39:53;19;Avere;Türkçe;Türkçesi;Sahip olmak;avere;True;1;True;Ho una macchina fotografica
20260722_023818;2026-07-22T02:40:00;20;Ricevere;Türkçe;Türkçesi;Almak/ Teslim almak;ricevere;True;1;True;Ho ricevuto un messaggio dalla mia ragazza
20260722_023818;2026-07-22T02:40:04;21;Trovare;İngilizce;İngilizcesi;To find;trovare;True;1;True;Non riesco a trovare le mie chiavi
