session_id;answered_at;attempt_order;word_key;italian_word;clue_language;clue_column;clue;user_answer;is_correct;error_type;similarity_score;confused_with;task_attempt_number;is_first_try_correct;example
20260802_012047;2026-08-02T01:21:00;1;esempio;Esempio;Türkçe;Türkçesi;Örnek;esempio;True;correct;1.0;;1;True;Puoi farmi un esempio per favore
20260802_012047;2026-08-02T01:21:03;2;sabato;Sabato;Türkçe;Türkçesi;Cumartesi;sabato;True;correct;1.0;;1;True;Sabato di solito faccio fotografie
20260802_012047;2026-08-02T01:21:07;3;venerdi;Venerdi;Türkçe;Türkçesi;Cuma;venerdi;True;correct;1.0;;1;True;Venerdì sera ceno con la mia ragazza
20260802_012047;2026-08-02T01:21:11;4;frase;Frase;İngilizce;İngilizcesi;Sentence / Phrase;frase;True;correct;1.0;;1;True;Provo a scrivere una frase in italiano
20260802_012047;2026-08-02T01:21:16;5;ancora;Ancora;İngilizce;İngilizcesi;Still / Again / More;ancora;True;correct;1.0;;1;True;Sto ancora studiando italiano
20260802_012047;2026-08-02T01:21:26;6;anche;Anche;Türkçe;Türkçesi;Ayrıca / De, da / Bile;anche;True;correct;1.0;;1;True;Anche io voglio imparare il russo
20260802_012047;2026-08-02T01:21:30;7;stesso;Stesso;Türkçe;Türkçesi;Aynı;spesso;False;spelling_error;0.833;;1;False;Studiamo nello stesso corso di italiano
20260802_012047;2026-08-02T01:21:41;8;martedi;Martedi;İngilizce;İngilizcesi;Tuesday;martedi;True;correct;1.0;;1;True;Martedì lavoro fino alle sei
20260802_012047;2026-08-02T01:21:44;9;mercoledi;Mercoledi;Türkçe;Türkçesi;Çarşamba;mercoledi;True;correct;1.0;;1;True;Mercoledì studio italiano con un amico
20260802_012047;2026-08-02T01:21:51;10;anche;Anche;İngilizce;İngilizcesi;Also / Too / Even;anche;True;correct;1.0;;1;True;Anche io voglio imparare il russo
20260802_012047;2026-08-02T01:21:56;11;domenica;Domenica;Türkçe;Türkçesi;Pazar;domenica;True;correct;1.0;;1;True;Domenica rimango a casa con la mia famiglia
20260802_012047;2026-08-02T01:21:59;12;estata;Estata;İngilizce;İngilizcesi;Summer;estata;True;correct;1.0;;1;True;In estate mi piace andare al mare
20260802_012047;2026-08-02T01:22:04;13;martedi;Martedi;Türkçe;Türkçesi;Salı;martedi;True;correct;1.0;;1;True;Martedì lavoro fino alle sei
20260802_012047;2026-08-02T01:22:07;14;sabato;Sabato;İngilizce;İngilizcesi;Saturday;sabato;True;correct;1.0;;1;True;Sabato di solito faccio fotografie
20260802_012047;2026-08-02T01:22:11;15;frase;Frase;Türkçe;Türkçesi;Cümle / İfade;frase;True;correct;1.0;;1;True;Provo a scrivere una frase in italiano
20260802_012047;2026-08-02T01:22:15;16;fa caldo;Fa caldo;Türkçe;Türkçesi;Hava sıcak;fa caldo;True;correct;1.0;;1;True;Oggi fa molto caldo, quindi bevo molta acqua
20260802_012047;2026-08-02T01:22:21;17;giovedi;Giovedi;İngilizce;İngilizcesi;Thursday;giovedi;True;correct;1.0;;1;True;Giovedì voglio andare al cinema
20260802_012047;2026-08-02T01:22:28;18;il primo;Il primo;Türkçe;Türkçesi;Birinci / İlk / İlk yemek;Il primo;True;correct;1.0;;1;True;Questo e’ il mio primo giorno di corso
20260802_012047;2026-08-02T01:22:32;19;ancora;Ancora;Türkçe;Türkçesi;Hala / Tekrar / Daha;ancora;True;correct;1.0;;1;True;Sto ancora studiando italiano
20260802_012047;2026-08-02T01:22:35;20;domenica;Domenica;İngilizce;İngilizcesi;Pazar;domenica;True;correct;1.0;;1;True;Domenica rimango a casa con la mia famiglia
20260802_012047;2026-08-02T01:22:40;21;sentire;Sentire;Türkçe;Türkçesi;Duymak / Hissetmek;sentire;True;correct;1.0;;1;True;Non riesco a sentire bene la tua voce
20260802_012047;2026-08-02T01:22:47;22;sentire;Sentire;İngilizce;İngilizcesi;To hear / To feel;sentire;True;correct;1.0;;1;True;Non riesco a sentire bene la tua voce
20260802_012047;2026-08-02T01:22:50;23;giovedi;Giovedi;Türkçe;Türkçesi;Perşembe;giovedi;True;correct;1.0;;1;True;Giovedì voglio andare al cinema
20260802_012047;2026-08-02T01:22:53;24;estata;Estata;Türkçe;Türkçesi;Yaz;estata;True;correct;1.0;;1;True;In estate mi piace andare al mare
20260802_012047;2026-08-02T01:22:57;25;esempio;Esempio;İngilizce;İngilizcesi;Example;esempio;True;correct;1.0;;1;True;Puoi farmi un esempio per favore
20260802_012047;2026-08-02T01:23:01;26;stesso;Stesso;İngilizce;İngilizcesi;Same;stesso;True;correct;1.0;;1;True;Studiamo nello stesso corso di italiano
20260802_012047;2026-08-02T01:23:14;27;fa caldo;Fa caldo;İngilizce;İngilizcesi;It is Hot;fa caldo;True;correct;1.0;;1;True;Oggi fa molto caldo, quindi bevo molta acqua
20260802_012047;2026-08-02T01:23:29;28;in piu;In piu;İngilizce;İngilizcesi;In addition / More;in piu;True;correct;1.0;;1;True;Studio italiano e, in piu, ascolto podcast ogni giorno
20260802_012047;2026-08-02T01:23:35;29;il primo;Il primo;İngilizce;İngilizcesi;The first / First course;Il primo;True;correct;1.0;;1;True;Questo e’ il mio primo giorno di corso
20260802_012047;2026-08-02T01:23:40;30;venerdi;Venerdi;İngilizce;İngilizcesi;Friday;venerdi;True;correct;1.0;;1;True;Venerdì sera ceno con la mia ragazza
20260802_012047;2026-08-02T01:23:48;31;in piu;In piu;Türkçe;Türkçesi;Ayrıca / Ek olarak;ancora;False;confused_with_another_word;0.167;Ancora;1;False;Studio italiano e, in piu, ascolto podcast ogni giorno
20260802_012047;2026-08-02T01:23:55;32;mercoledi;Mercoledi;İngilizce;İngilizcesi;Wednesday;mercoledi;True;correct;1.0;;1;True;Mercoledì studio italiano con un amico
20260802_012047;2026-08-02T01:23:59;33;stesso;Stesso;Türkçe;Türkçesi;Aynı;stesso;True;correct;1.0;;2;False;Studiamo nello stesso corso di italiano
20260802_012047;2026-08-02T01:24:04;34;in piu;In piu;Türkçe;Türkçesi;Ayrıca / Ek olarak;in piu;True;correct;1.0;;2;False;Studio italiano e, in piu, ascolto podcast ogni giorno
