session_id;answered_at;attempt_order;word_key;italian_word;clue_language;clue_column;clue;user_answer;is_correct;error_type;similarity_score;confused_with;task_attempt_number;is_first_try_correct;example
20260728_104250;2026-07-28T10:42:56;1;parlare;Parlare;Türkçe;Türkçesi;Konuşmak;parlare;True;correct;1.0;;1;True;Parlo italiano con i miei amici
20260728_104250;2026-07-28T10:43:00;2;senza;Senza;Türkçe;Türkçesi;-Sız/ -siz;senza;True;correct;1.0;;1;True;Non posso vivere senza la mia famiglia
20260728_104250;2026-07-28T10:43:03;3;vita;Vita;Türkçe;Türkçesi;Hayat;vita;True;correct;1.0;;1;True;Ha avuto una vita difficile, tra Mattie e problemi familiari
20260728_104250;2026-07-28T10:43:08;4;vivere;Vivere;Türkçe;Türkçesi;Yaşamak;vivere;True;correct;1.0;;1;True;Suo fratello adesso vive a Londra
20260728_104250;2026-07-28T10:43:14;5;diverso;Diverso;Türkçe;Türkçesi;Farklı/Çeşitli;diverso;True;correct;1.0;;1;True;Ho visitato diverso città in Italia
20260728_104250;2026-07-28T10:43:18;6;fare;Fare;İngilizce;İngilizcesi;To do/ to make;fare;True;correct;1.0;;1;True;Nel tempo libero faccio fotografie
20260728_104250;2026-07-28T10:43:23;7;prendere;Prendere;İngilizce;İngilizcesi;To take/to get;prendere;True;correct;1.0;;1;True;Prendo l’autobus ogni mattina
20260728_104250;2026-07-28T10:43:27;8;difficile;Difficile;İngilizce;İngilizcesi;Difficult/Hard;difficile;True;correct;1.0;;1;True;Parlare italiano non e difficile
20260728_104250;2026-07-28T10:43:33;9;potere;Potere;İngilizce;İngilizcesi;Can/ to be able to;potere;True;correct;1.0;;1;True;Posso parlare un podi italiano
20260728_104250;2026-07-28T10:43:37;10;vorrei;Vorrei;İngilizce;İngilizcesi;I’d like;vorrei;True;correct;1.0;;1;True;Vorrei un biglietto per roma
20260728_104250;2026-07-28T10:43:42;11;fare;Fare;Türkçe;Türkçesi;Yapmak;fare;True;correct;1.0;;1;True;Nel tempo libero faccio fotografie
20260728_104250;2026-07-28T10:43:46;12;rendere;Rendere;İngilizce;İngilizcesi;To make/To render;rendere;True;correct;1.0;;1;True;Voglio rendere felice la mia ragazza
20260728_104250;2026-07-28T10:43:51;13;sapere;Sapere;Türkçe;Türkçesi;Bilmek;sapere;True;correct;1.0;;1;True;Non so parlare bene italiano
